,0
373,2292.57024566227
374,2138.71512685945
375,1984.8395722143762
376,1830.9628229964715
377,1677.103961123571
378,1523.282652717735
379,1369.519673532225
380,1215.8372213765206
381,1062.259059628632
382,908.8105039202663
383,755.5182430730371
384,602.4100059651356
385,449.51412341767974
386,296.8590567536959
387,144.47295333423807
388,-7.616742183849892
389,-159.3836052381496
390,-310.8024388570914
391,-461.84931460586756
392,-612.5014262415217
393,-762.73679989634
394,-912.53394738855
395,-1061.8715560324442
396,-1210.7282628127548
397,-1359.082489441164
398,-1506.9122946039122
399,-1654.1952294852006
400,-1800.9082351905877
401,-1947.0276802488586
402,-2092.5295996571163
403,-2237.3900701433386
404,-2381.5855965346723
405,-2525.0934161895884
406,-2667.891702856706
407,-2809.959726798446
408,-2951.278022126651
409,-3091.828531727956
410,-3231.5946456978772
411,-3370.5610797961544
412,-3508.713631528344
413,-3646.0389174835645
414,-3782.5241539952667
415,-3918.1569402598466
416,-4052.924998946233
417,-4186.81591100004
418,-4319.816883162623
419,-4451.914542115535
420,-4583.094784299757
421,-4713.342777163337
422,-4842.6431784019915
423,-4970.980500737748
424,-5098.339458482508
425,-5224.705190865187
426,-5350.063372204661
427,-5474.400299359622
428,-5597.703028549123
429,-5719.959498244298
430,-5841.158490404329
431,-5961.289373406093
432,-6080.341726626498
433,-6198.305016510955
434,-6315.16842838545
435,-6430.920834809599
436,-6545.550842100663
437,-6659.046913567
438,-6771.397567787308
439,-6882.591563928883
440,-6992.617990924905
441,-7101.466296565726
442,-7209.126341639598
443,-7315.588513955857
444,-7420.843902928925
445,-7524.884503454143
446,-7627.7033393400025
447,-7729.294382585359
448,-7829.652259877422
449,-7928.7718486382255
450,-8026.6478958969265
451,-8123.274773413282
452,-8218.646390883358
453,-8312.756181619472
454,-8405.597086626993
455,-8497.161557925552
456,-8587.441632449823
457,-8676.429067230227
458,-8764.115490871476
459,-8850.492588214185
460,-8935.552355458696
461,-9019.287356771154
462,-9101.690867211568
463,-9182.75688938364
464,-9262.480128338088
465,-9340.855981844597
466,-9417.880510481666
467,-9493.550344935471
468,-9567.86254058198
469,-9640.814377427112
470,-9712.403103901963
471,-9782.625674791238
472,-9851.478514720298
473,-9918.95729986004
474,-9985.05680483509
475,-10049.770904861181
476,-10113.09275028269
477,-10175.015044472846
478,-10235.530347589025
479,-10294.63134127137
480,-10352.311033987573
481,-10408.562986545887
482,-10463.381634024821
483,-10516.762609086638
484,-10568.702869779074
485,-10619.200574744713
486,-10668.254828930096
487,-10715.865433693625
488,-10762.032694279893
489,-10806.757275276941
490,-10850.040076531019
491,-10891.882127103981
492,-10932.284542012481
493,-10971.248629011145
494,-11008.776188478667
495,-11044.869899835945
496,-11079.533615195267
497,-11112.772476539853
498,-11144.592860532994
499,-11175.002152570245
500,-11204.008381717233
501,-11231.619801644092
502,-11257.844483702038
503,-11282.689971494388
504,-11306.163081373967
505,-11328.269892078997
506,-11349.01583876504
507,-11368.405784171107
508,-11386.443986478676
509,-11403.13391897027
510,-11418.477981434706
511,-11432.477247586228
512,-11445.131373663726
513,-11456.438689820281
514,-11466.396417585047
515,-11475.000945249198
516,-11482.248118694386
517,-11488.133506126167
518,-11492.652597913651
519,-11495.800961289882
520,-11497.57443924847
521,-11497.969465518934
522,-11496.983467899778
523,-11494.615251893758
524,-11490.865233453425
525,-11485.735453568772
526,-11479.229474428957
527,-11471.352331709144
528,-11462.110561586593
529,-11451.512161498616
530,-11439.566383535803
531,-11426.283385215645
532,-11411.673826703192
533,-11395.74852621724
534,-11378.518276309436
535,-11359.993823722096
536,-11340.185923683594
537,-11319.105404109196
538,-11296.763200298057
539,-11273.170303729243
540,-11248.337627582958
541,-11222.275892957636
542,-11194.995621874761
543,-11166.507211615875
544,-11136.821047910244
545,-11105.947690694864
546,-11073.89817724829
547,-11040.684420052907
548,-11006.319595149254
549,-10970.81834600948
550,-10934.196642769353
551,-10896.47127966517
552,-10857.65915333478
553,-10817.776528551592
554,-10776.838463618009
555,-10734.858473076165
556,-10691.84840908987
557,-10647.818479579913
558,-10602.777294110056
559,-10556.731875742758
560,-10509.687688711843
561,-10461.64879525853
562,-10412.618180550488
563,-10362.598133525784
564,-10311.590512791285
565,-10259.596819532875
566,-10206.618150315911
567,-10152.655195442685
568,-10097.70838516411
569,-10041.77812663481
570,-9984.865022462316
571,-9926.97003048983
572,-9868.094579791215
573,-9808.24066230443
574,-9747.410870498092
575,-9685.608313854185
576,-9622.836441550207
577,-9559.098915113482
578,-9494.399624585303
579,-9428.74283664075
580,-9362.13344049744
581,-9294.577222100495
582,-9226.081040770783
583,-9156.652845810373
584,-9086.301618847554
585,-9015.03737186129
586,-8942.871245241578
587,-8869.815671692937
588,-8795.884555390434
589,-8721.093420449046
590,-8645.459484923842
591,-8569.001625551164
592,-8491.740220891397
593,-8413.696872902327
594,-8334.894004560918
595,-8255.35436262611
596,-8175.100511184046
597,-8094.154408383334
598,-8012.53711839436
599,-7930.268667485085
600,-7847.368013117813
601,-7763.853068695732
602,-7679.7407270117965
603,-7595.046866917068
604,-7509.786379704975
605,-7423.9732288976375
606,-7337.620492287376
607,-7250.740338669207
608,-7163.343959283696
609,-7075.441535454531
610,-6987.04231795892
611,-6898.154792190486
612,-6808.786790793896
613,-6718.945415195415
614,-6628.636733778266
615,-6537.8653413551365
616,-6446.63393411669
617,-6354.943060780146
618,-6262.791146885327
619,-6170.174777732828
620,-6077.0891343253725
621,-5983.528456210003
622,-5889.48643732065
623,-5794.956534033229
624,-5699.93227832333
625,-5604.407742258943
626,-5508.378173477318
627,-5411.840599629318
628,-5314.794145706038
629,-5217.239991524507
630,-5119.181076231916
631,-5020.621690961866
632,-4921.5670790286595
633,-4822.02313587694
634,-4721.996248688862
635,-4621.493245580916
636,-4520.521384182415
637,-4419.088351206192
638,-4317.202300465199
639,-4214.871923298085
640,-4112.106497515535
641,-4008.915879685232
642,-3905.3104400212233
643,-3801.3009688176044
644,-3696.8986014783054
645,-3592.114787409798
646,-3486.9612988803865
647,-3381.4502684682193
648,-3275.5942371858687
649,-3169.406183993614
650,-3062.8995120848713
651,-2956.0879991513016
652,-2848.9857462840496
653,-2741.607162043038
654,-2633.966998988782
655,-2526.08039815722
656,-2417.9628523614515
657,-2309.630066176082
658,-2201.0977749019053
659,-2092.3815456803827
660,-1983.4965065553436
661,-1874.4570092059528
662,-1765.2763437647207
663,-1655.9665819941888
664,-1546.538513205938
665,-1437.0016303060977
666,-1327.3641613171947
667,-1217.6331304760201
668,-1107.8144049513319
669,-997.9126966566853
670,-887.9315417513418
671,-777.8733214294468
672,-667.7393740184298
673,-557.5301940878016
674,-447.2456717939455
675,-336.8853390421539
676,-226.44863921791043
677,-115.93523690228223
678,-5.345329596020039
679,105.32008814892481
680,216.05902156351956
681,326.86834099547485
682,437.7437486646727
683,548.6798605252836
684,659.6703369847978
685,770.7079382344945
686,881.7844180512584
687,992.8902816714835
688,1104.014534131928
689,1215.1445593605376
690,1326.2661686491717
691,1437.3637370353827
692,1548.4203509289227
693,1659.4179721921278
694,1770.3376463174093
695,1881.159753212717
696,1991.8642663914138
697,2102.430967015394
698,2212.8396042835734
699,2323.0700670011543
700,2433.102608495926
701,2542.9180724333632
702,2652.4980334835104
703,2761.8248063032165
704,2870.881316745011
705,2979.6508792261734
706,3088.1170116600197
707,3196.263437463648
708,3304.074299824823
709,3411.534480949953
710,3518.6298889277464
711,3625.347621898982
712,3731.67600642891
713,3837.6045656351416
714,3943.1239533996027
715,4048.225857962475
716,4152.902881136491
717,4257.148415973152
718,4360.956550983536
719,4464.321982601384
720,4567.239850405913
721,4669.705446951729
722,4771.713861176413
723,4873.259641870041
724,4974.33654506421
725,5074.937435306285
726,5175.054374871312
727,5274.678826972828
728,5373.801842377916
729,5472.414142120251
730,5570.506072577377
731,5668.067470268711
732,5765.087533746317
733,5861.55480546411
734,5957.457291124583
735,6052.782648729342
736,6147.518362554235
737,6241.651874072422
738,6335.170674873508
739,6428.062364531054
740,6520.31469433077
741,6611.915639820998
742,6702.853520653213
743,6793.117108783295
744,6882.695604456675
745,6971.578408319828
746,7059.75474072622
747,7147.213248167556
748,7233.941777951148
749,7319.927465614679
750,7405.157137508738
751,7489.617894439068
752,7573.297700277162
753,7656.1858366503
754,7738.273164619611
755,7819.552201565971
756,7900.0170426818895
757,7979.663143258592
758,8058.486948920322
759,8136.485371516902
760,8213.655202719614
761,8289.992617269532
762,8365.492844658467
763,8440.150013622699
764,8513.957171187281
765,8586.906451238096
766,8658.989313594864
767,8730.196775789456
768,8800.519612347027
769,8869.948504577882
770,8938.474057556266
771,9006.086599354277
772,9072.775812210035
773,9138.530345273311
774,9203.337536847148
775,9267.183323592786
776,9330.052341964469
777,9391.928155884192
778,9452.793546355291
779,9512.630816533585
780,9571.42207321068
781,9629.149498195098
782,9685.79567321416
783,9741.343985701029
784,9795.779062264468
785,9849.087150697424
786,9901.256392091085
787,9952.276943895176
788,10002.140939174033
789,10050.842289350949
790,10098.376366920984
791,10144.739652554501
792,10189.92943885026
793,10233.943623618385
794,10276.780539159865
795,10318.438720136539
